ID,Zip Code,First Name,Middle Name,Last Name,Street,City,State
10101,4206,Shrek,Is,Love,shrek is life. WHO DARE ENTER,My,Swamp
1337,9989,And,His,Name,IS,Cena,John
0,8887,Who,Dead,Eyes,6290 Ice Road,Snow,Hail
5002,1005,Toshiba,Satellite,Laptop,C55t-A522 Touchscreen,Intel,Celeron
5020855,81,Microsoft,Lumia,Phone,640 XL,Windows,Mobile
48654,2465,Logitech,Proteus,Core,G502 Gaming Mouse,Tunable,Sensor
12522,7484,Gintoki,Whiteknight,Sakata,2nd floor Yoruzoya,Kabukicho,Edo
7,3419,Sirius,Orion,Black,12 Grimmauld Place,London,Uk
11,8731,Harry,James,Potter,4 Privet Drive,Littlewhinging,Surrey
2010,70777,Fred,Jones,Flinstone,301 Cobblestone Way,Bedrock,California
23,10101,The,Fantastic,Four,Baxter Builder 42nd Street,Manhattan,Nyc
35,11223,Jerome,Allen,Seinfeld,Appartment 5A @ 129 West 81st Street,Brooklyn,Nyc
46,2561,Mary,Jay,Poppins,17 Cherry Tree Lane,London,England
42,960,Asus,Desktop,PC,M51AC 32GB RAM i7-4770 CPU,Gigabyte,Geforcegtx
21,60,Htc,One,Mate,Nautilus 831C 6.20.651.3,Android,Marshmallow
25,25,Santa,Kringle,Claus,The Cottage At,North,Pole
52,5,Spongebob,Square,Pants,124 Conch Street,Bikinibottom,Pacificocean
115,1881,Albus,Percival,Dumbledore,Hogwarts School,London,UK
1938,71351,Clark,Superman,Kent,1938 Sulivan Ln,Metropolis,Usa
2,2,Artemis,Phi,Fowl,Fowl Manor,Dublin,Ireland
75,1312,Luna,Scamander,Lovegood,Lovegood Hous Ottery St Catchpole,Devon,England
77,3420,Sherlock,Sherrinford,Holmes,221B Baker St.,London,Uk
9999,0,Mostly,Harmless,Earth,Galactic Sector ZZ9 Plural Z Alpha,Insignificant,Planet
913,6412,Bruce,Batman,Wayne,Wayne Manor 1007 Mountain Drive,Gotham,Usa
3,90265,Tony,Ironman,Stark,10880 Malibu Point,Malibu,California
246,2315,Peter,Malcolm,Pan,Second star to the right,Never,Land
1000001,22022,January,Doe,Jinnes,1000 Main Street,Boring,Wisconsin
1000002,22022,February,Doe,Jinnes,1001 Main Street,Boring,Wisconsin
1000003,22022,March,Doe,Jinnes,1002 Main Street,Boring,Wisconsin
1000004,22022,April,Doe,Jinnes,1003 Main Street,Boring,Wisconsin
1000005,22022,May,Doe,Jinnes,1004 Main Street,Boring,Wisconsin
1000006,22022,June,Doe,Jinnes,1005 Main Street,Boring,Wisconsin
1000007,22022,July,Doe,Jinnes,1006 Main Street,Boring,Wisconsin
8894009,44115,Aaron,James,Johnston,2200 Charing Road,Cleveland,Ohio
2460100,90210,Briar,Lily,Moss,100 Discipline Cottage,Winding circle,Emelan
2580095,44024,Samuel,Peter,Rosace,11160 Courtney Court,Chardon,Ohio
1000008,22022,August,Doe,Jinnes,1007 Main Street,Boring,Wisconsin
1000009,22022,September,Doe,Jinnes,1008 Main Street,Boring,Wisconsin
1000010,22022,October,Doe,Jinnes,1009 Main Street,Boring,Wisconsin
1000011,22022,November,Doe,Jinnes,1010 Main Street,Boring,Wisconsin
1000012,22022,December,Doe,Jinnes,1011 Main Street,Boring,Wisconsin
1000013,22022,Sunday,Doe,Jinnes,1012 Main Street,Boring,Wisconsin
1000014,22022,Monday,Doe,Jinnes,1013 Main Street,Boring,Wisconsin
1000015,22022,Tuesday,Doe,Jinnes,1014 Main Street,Boring,Wisconsin
1000016,22022,Wednesday,Doe,Jinnes,1015 Main Street,Boring,Wisconsin
1000017,22022,Thursday,Doe,Jinnes,1016 Main Street,Boring,Wisconsin
1000022,22022,Fire,Doe,Jinnes,1021 Main Street,Boring,Wisconsin
1000018,22022,Friday,Doe,Jinnes,1017 Main Street,Boring,Wisconsin
1000021,22022,Moon,Doe,Jinnes,1020 Main Street,Boring,Wisconsin
1000019,22022,Saturday,Doe,Jinnes,1018 Main Street,Boring,Wisconsin
1000020,22022,Sun,Doe,Jinnes,1019 Main Street,Boring,Wisconsin
